id,left_title,right_title,label
0,nikon d3200 black w/ 18-55mm vr lens,nikon d3200 24 2 mp digital slr camera black kit w af s dx 18 55mm lens | ebay,1
1,nikon d80 10 2 mp digital slr camera black kit w af s dx if ed g 18 70mm | ebay,fujifilm finepix s1 weather resistant 16 mp digital camera black 16408967 | ebay,0
2,nikon d80 10 2 mp digital slr camera black kit w af s dx if ed g 18 70mm | ebay,nikon d3200 24 2 mp digital slr camera black body only 30717 | ebay,0
3,nikon d80 dslr camera body acessories 2 battery packs 018208254125 | ebay,nikon d3200 24 2mp digital slr camera body black 301 | ebay,0
4,nikon d3200 24 2mp dslr camera body 3 year warranty used | ebay,"canon powershot sx600 hs 16 megapixel compact camera - white (3"" lcd - 18x optical zoom - optical is - 4608 x 3456 image - 1920 x 1080 video - hdmi - pictbridge - hd movie mode) price comparison at buy.net",0
5,canon eos 20d 8 2 mp digital dslr camera body lens | ebay,nikon 1 j3 14 2 mp digital camera white kit w vr 10 30mm lens 018208276387 | ebay,0
6,nikon d3200 digital slr camera w af s dx vr 55 200mm 018208133093 | ebay,nikon d7000 camera body accessories low shutter count exceptional condition 018208254682 | ebay,0
7,"sony ilce 3000k (18-55 mm) price in india, bangalore, hyderabad, delhi, chennai, mumbai, pune, kolkatta",nikon d3200 black w/ 18-55mm vr lens,0
8,nikon coolpix s01 10 1 mp digital camera white 018208132799 | ebay,canon eos 1200d + 18-55/3.5-5.6  new zealand prices - priceme,0
9,nikon d4 16 2 mp digital slr camera black body only us warranty | ebay,nikon d80 slr digital camera interchangeable lens bag 018208254125 | ebay,0
10,canon eos 20d 8 2mp digital slr camera body 486 | ebay,nikon d7000 16 2 mp digital slr camera black kit w af s dx 18 105mm ed vr | ebay,0
11,nikon d90 - price comparison & reviews - digital cameras - australia,sony cybershot dsc-wx300  new zealand prices - priceme,0
12,nikon d80 10 2 mp digital slr camera body only faulty damaged parts or repair 018208254125 | ebay,nikon d3200 / 18-105mm kit - price comparison & reviews - digital cameras - australia,0
13,fujifilm x series x10 12 0 mp digital camera black | ebay,canon eos 1200d - digital cameras - photo - visual | ilgs.net,0
14,"sony ilce 3000k (18-55 mm) price in india, bangalore, hyderabad, delhi, chennai, mumbai, pune, kolkatta",nikon d3200 24 2 mp digital slr camera black body only 30717 | ebay,0
15,"nikon d800 body digital camera prices, shopping comparison for nikon d 800 body, buy online in india - shopmania","fujifilm finepix sl300 point & shoot digital camera black price in india with offers, reviews & full specifications | pricedekho.com",0
16,â__shutter count 34â__ nikon d3200 dslr camera body only | ebay,sony alpha a5000 / 16-50mm kit - price comparison & reviews - digital cameras - australia,0
17,canon eos 20d 8 2 mp digital slr camera black body only | ebay,fuji finepix s1 digital camera (black) | uk digital cameras,0
18,new nikon 16 mp digital slr camera d7000 body dx format black free shipping 018208254682 | ebay,nikon d7000 16 2 mp digital slr camera kit w af s dx18 200mm ed vr ii lens | ebay,1
19,nikon d90 - price comparison & reviews - digital cameras - australia,"nikon d90 (18-105 mm vr) price in india, bangalore, hyderabad, delhi, chennai, mumbai, pune, kolkatta",1
20,canon powershot sx120 is 10 0 mp digital camera black | ebay,canon 5d body with battery and charger 013803056853 | ebay,0
21,nikon d80 10 2 mp digital slr camera body only faulty damaged parts or repair 018208254125 | ebay,nikon d7000 16 2 mp digital slr camera black body only 25468 018208254682 | ebay,0
22,nikon d3200 24 2 mp digital slr camera kit w 18 55mm lens | ebay,canon eos 5d 12 8 mp digital slr camera black body only 013803056853 | ebay,0
23,nikon d3200 w/ 18-105mm vr ed lens,canon eos 5d digital slr camera black body only in excellent condition 013803056853 | ebay,0
24,"sony alpha ilce 5000y (selp 16-50mm & sel 55-210mm) price in india, bangalore, hyderabad, delhi, chennai, mumbai, pune, kolkatta",new fujifilm s1 digital camera 50x zoom weather resistant fuji s1 | ebay,0
25,nikon d80 digital slr camera black w 18 55mm lens 55 200mm lens 254129425 | ebay,"nikon d90 (18-105 mm vr) price in india, bangalore, hyderabad, delhi, chennai, mumbai, pune, kolkatta",0
26,"sony black 20.1mp alpha a3000 interchangeable lens camera, includes 18-55mm lens: cameras & camcorders : walmart.com",nikon d3200 w/ 18-105mm vr ed lens,0
27,nikon d3200 24 2 mp digital slr camera body only | ebay,nikon d90 12 3 mp digital slr camera black kit w vr 18 105 mm lens | ebay,0
28,fujifilm finepix s series sl300 14 0 mp digital camera black fpsl300 074101014495 | ebay,fuji finepix s1 digital camera (p10nc12730a) - wex photographic,0
29,near mint nikon camera d4 body 16 2 mp fx free shipping from japan | ebay,fujifilm x series x10 12 0 mp digital camera black | ebay,0
30,"sony cyber-shot dsc-wx300 digital camera prices, shopping comparison for sony cybershot dsc wx 300, buy online in india - shopmania",canon powershot sx600 hs digital camera - red (9342b012aa) - wex photographic,0
31,nikon d7000 dslr body with nikkor 35mm 1 8g lens _ great condition 018208254682 | ebay,"fujifilm finepix sl300 point & shoot digital camera black price in india with offers, reviews & full specifications | pricedekho.com",0
32,nikon d3200 digital slr camera 18 55mm lens 70 300mm lens | ebay,nikon 1 j3 digital camera - beige (vvk185xh) | camerafarm australia,0
33,nikon d7000 digital slr camera - 16.2mp black (850101) | camerafarm australia,nikon 1 j3 digital camera white w vr 10 30mm and super wide angle lens 018208276387 | ebay,0
34,nikon d3200 24 2 mp digital slr camera black kit w af s vr dx 18 55mm | ebay,"canon eos 1200d dslr camera macro for best price in india 2014, specs and review | valid in delhi, mumbai, bangalore, hyderabad, chennai, kolkata, ahmedabad, surat | price-hunt",0
35,canon eos 5d 12 8mp full frame digital slr camera body 690 013803056853 | ebay,nikon 1 j3 14 2 mp digital camera white kit w vr 10 30mm lens 018208276387 | ebay,0
36,nikon d7000 16 2 megapixel dx digital slr body great camera 24090 018208254682 | ebay,canon eos 1200d + 18-55/3.5-5.6  new zealand prices - priceme,0
37,"nikon d4 dslr camera best price in india 2014, specs and review | valid in delhi, mumbai, bangalore, hyderabad, chennai, kolkata, ahmedabad, surat | price-hunt",nikon d7000 dslr digital camera sn 3071608 017856441659 | ebay,0
38,sony alpha a5000 with 16-50mm lens digital mirrorless camera - white,nikon d90 12 3 mp digital slr camera usa black with 18 70 dx lens 25446 018208254460 | ebay,0
39,canon eos 20d digital camera w tamron 28 80mm lens | ebay,nikon d7000 + 18-140/3.5-5.6 g ed vr  new zealand prices - priceme,0
40,"nikon coolpix l30 price in india, bangalore, hyderabad, delhi, chennai, mumbai, pune, kolkatta",nikon d3200 24.2 mp cmos digital slr on sale for $517.95,0
41,nikon d3200 24 2 mp digital slr camera black kit w af s vr dx 18 55mm new box | ebay,nikon d90 12 3 mp digital slr camera black | ebay,0
42,nikon d3200 24 2 mp digital slr camera black body only 30717 | ebay,nikon d800 mint usa 1418 actual shutter count 018208254804 | ebay,0
43,nikon d3200 kit with 18-55mm vr ii lens digital slr camera - red,nikon d7000 16.2 mp digital slr camera - black (body only) (25468),0
44,nikon d7000 digital slr camera - 16.2mp black (850103) | camerafarm australia,nikon d90 12 3 mp dslr in great condition black w vr 18 200mm lens | ebay,0
45,"sony alpha a3000 (18-55 mm) price in india, bangalore, hyderabad, delhi, chennai, mumbai, pune, kolkatta",nikon d3200 dslr with 18 55mm vr and af 70 300mm f4 5 6g twin lens kit s3324 | ebay,0
46,canon eos 20d digital camera w tamron 28 80mm lens | ebay,"get the nikon d3200 digital slr camera, 24.2 megapixels for less at walmart.com. save money. live better.",0
47,"nikon d3200 (body only) price in india, bangalore, hyderabad, delhi, chennai, mumbai, pune, kolkatta",new fujifilm s1 digital camera 50x zoom weather resistant fuji s1 | ebay,0
48,nikon d3200 digital slr camera 18 55mm lens 70 300mm lens | ebay,nikon d90 + 18-200/3.5-5.6 vr ii  new zealand prices - priceme,0
49,nikon d3200 24 2 mp digital slr camera black body only | ebay,panasonic lumix dmc-g10 with 14-42mm & 45-200mm - price comparison & reviews - digital cameras - australia,0
50,nikon d80 digital slr camera black w 18 55mm lens 55 200mm lens 254129425 | ebay,nikon d800 36 3 mp cmos fx format digital slr camera great camera 24285 018208254804 | ebay,0
51,nikon d80 10 2 mp digital slr camera w af nikkor 35 70mm lens 18208094837 | ebay,nikon d800 36 3 mp digital slr camera bonus batteries 018208254804 | ebay,0
52,nikon d90 + 18-200/3.5-5.6 vr ii  new zealand prices - priceme,nikon 1 j3 digital camera - white (vvk182xh) | camerafarm australia,0
53,nikon d7000 16 2 megapixel dx digital slr body great camera 24090 018208254682 | ebay,sony cyber shot 63x super zoom dsc h400 hd digital camera kit | ebay,0
54,sony a5000 digital camera sel 1650 sel 55210 lens black 20 1mp uk | ebay,nikon d90 digital slr with accessories 018208254460 | ebay,0
55,nikon d3200 w/ 18-105mm vr ed lens,canon powershot sx120 is 10 0 mp digital camera black as is for parts | ebay,0
56,new infrared full spectrum ir sony î_ a3000 20 1 mp camera infra red uv astronomy 027242870789 | ebay,canon eos 7d mark ii dslr camera body usa warranty 9128b002 new 013803117493 | ebay,0
57,"nikon d800 (body only) price in india, bangalore, hyderabad, delhi, chennai, mumbai, pune, kolkatta",new nikon 16 mp digital slr camera d7000 body dx format black free shipping 018208254682 | ebay,0
58,nikon dslr d3200 digital camera lot | ebay,excellent fujifilm x10 from japan 26 | ebay,0
59,sony cyber shot 63x super zoom dsc h400 hd digital camera new usa | ebay,"buy nikon j3 interchangable lens digital camera, 14.2mp, beige with cameras - digital - slr 27661 today at pc connection",0
60,nikon d90 12 3 mp digital slr camera black kit w 18 55mm and 70 300mm | ebay,nikon d90 12 3 mp digital slr camera black kit w vr 18 105 mm lens | ebay,1
